symptoms_text,uses_label,,
"Doctor sahab bhot infection feel ho raha hai, fever bhi hai aur bacterial infection ki report aayi hai.",Treatment of Bacterial infections,,
Bhot zyada balgam wali khansi (Cough with mucus) ho rahi hai aur chest ekdum jam gaya hai.,Treatment of Cough with mucus,,
Allergy ki wajah se baar baar chhink (Sneezing) aati hai aur naak behti rehti hai.,"Treatment of Sneezing and runny nose due to allergies, Treatment of Allergic conditions",,
"Skin par rashes aur bhot zyada khujli ho rahi hai, lagta hai koi allergic condition hai.",Treatment of Allergic conditions,,
Naak se lagatar pani beh raha hai aur sardi-zukaam (Allergic Rhinitis) thik nahi ho raha.,Treatment of Sneezing and runny nose due to allergies,,
Ghabrahat (Anxiety) bhot hoti hai aur skin par sujan aur khujli (inflammation) ki problem hai.,"Treatment of Anxiety, Treatment of Skin conditions with inflammation & itching",,
"Sukhi khansi (Dry cough) hai, gale me kharash rehti hai par balgam nahi nikalta.",Treatment of Dry cough,,
"Seene me jalan (Acid reflux) aur pet me ulcer ki shikayat hai, bhot khatti dakar aati hai.","Treatment of Gastroesophageal reflux disease (Acid reflux), Treatment of Peptic ulcer disease",,
"Potty karte waqt bhot dard aur sujan hoti hai, Piles (bavasir) ke lakshan lag rahe hain.",Treatment of Piles,,
"Purani khansi hai aur TB (Tuberculosis) ka darr hai, sath me bacterial infection bhi hai.","Treatment of Resistance Tuberculosis (TB), Treatment of Bacterial infections",,
Khansi bhot purani hai (Chronic Cough) aur thik hone ka naam nahi le rahi.,Treatment of Cough,,
"Mera BP (High Blood Pressure) bhot zyada rehta hai, Hypertension ki problem hai.",Treatment of Hypertension (high blood pressure),,
"Pet me bhot dard rehta hai, lagta hai parasitic infection ya pet ke keede hain.",Treatment of Parasitic infections,,
"Saans lene me bhot takleef hoti hai (COPD), lung capacity bhot kam lag rahi hai.",Treatment of Chronic obstructive pulmonary disease (COPD),,
"Sharir me bhot zyada dard (Pain) hai, body ache se bhot pareshan hoon.",Pain relief,,
"Pairo me sujan (Edema) hai, BP high rehta hai aur Potassium ki kami batayi hai.","Hypertension (high blood pressure), Edema, Low potassium, Heart failure",,
Khoon patla karne ki zarurat hai taaki heart attack aur stroke se bacha ja sake.,Prevention of heart attack and stroke,,
"Peshab karne me dikkat ho rahi hai, Benign prostatic hyperplasia (BPH) lag raha hai.",Treatment of Benign prostatic hyperplasia,,
Haddiyan bhot kamzor ho gayi hain (Osteoporosis) aur Vitamin D ki bhot kami hai.,"Treatment of Vitamin D deficiency, Treatment of Osteoporosis",,
"Pet me bhot marore aur cramps ho rahe hain, severe abdominal pain hai.",Treatment of Abdominal pain,,
Potty wali jagah par cut lag gaya hai aur bhot dard hota hai (Anal fissure).,Treatment of Anal fissure,,
"Sukhi khansi hai, gale me har waqt khich-khich rehti hai.",Dry cough,,
"Cholesterol bhot badh gaya hai, heart attack se bachne ke liye precaution chahiye.","High cholesterol, Prevention of Heart attack",,
Gala bhot dukh raha hai (Sore throat) aur balgam wali khansi bhot zyada hai.,"Acute Sore throat, Treatment of Cough with mucus",,
"Dil kamzor ho gaya hai, Heart failure ke symptoms mehsoos ho rahe hain.",Treatment of Heart failure,,
